Crystal,Peak,Source,Peak_Error,Source_Error,,,,,,,,,,
24,365.26,344.279,0.007,0.0012,,,24,365.26,344.279,0.36526,0.0688558,,,
24,826.38,778.9045,0.03,0.0024,,,24,826.38,778.9045,0.82638,0.1557809,,,
24,1493.98,1408.018,0.02,0.003,,,24,1493.98,1408.018,1.49398,0.2816036,,,
25,119.77,121.782,0.005,0.0003,,,25,119.77,121.782,0.11977,0.0243564,,,
25,240.38,244.697,0.011,0.0008,,,25,240.38,244.697,0.24038,0.0489394,,,
25,338.089,344.279,0.01,0.0012,,,25,338.089,344.279,0.338089,0.0688558,,,
25,766.12,778.9045,0.02,0.0024,,,25,766.12,778.9045,0.76612,0.1557809,,,
25,1385.44,1408.018,0.018,0.003,,,25,1385.44,1408.018,1.38544,0.2816036,,,
26,128.42,121.782,0.005,0.0003,,,26,128.42,121.782,0.12842,0.0243564,,,
26,258.14,244.697,0.05,0.0008,,,26,258.14,244.697,0.25814,0.0489394,,,
26,363.055,344.279,0.007,0.0012,,,26,363.055,344.279,0.363055,0.0688558,,,
26,822.36,778.9045,0.027,0.0024,,,26,822.36,778.9045,0.82236,0.1557809,,,
26,1486.93,1408.018,0.019,0.003,,,26,1486.93,1408.018,1.48693,0.2816036,,,
27,126.94,121.782,0.005,0.0003,,,27,126.94,121.782,0.12694,0.0243564,,,
27,254.582,244.697,0.02,0.0008,,,27,254.582,244.697,0.254582,0.0489394,,,
27,357.88,344.279,0.01,0.0012,,,27,357.88,344.279,0.35788,0.0688558,,,
27,809.15,778.9045,0.05,0.0024,,,27,809.15,778.9045,0.80915,0.1557809,,,
27,1462.57,1408.018,0.024,0.003,,,27,1462.57,1408.018,1.46257,0.2816036,,,
28,129.7,121.782,0.01,0.0003,,,28,129.7,121.782,0.1297,0.0243564,,,
28,260.53,244.697,0.01,0.0008,,,28,260.53,244.697,0.26053,0.0489394,,,
28,366.25,344.279,0.015,0.0012,,,28,366.25,344.279,0.36625,0.0688558,,,
28,827.89,778.9045,0.025,0.0024,,,28,827.89,778.9045,0.82789,0.1557809,,,
28,1497.56,1408.018,0.021,0.003,,,28,1497.56,1408.018,1.49756,0.2816036,,,
29,154.783,121.782,0.01,0.0003,,,29,154.783,121.782,0.154783,0.0243564,,,
29,311,244.697,0.01,0.0008,,,29,311,244.697,0.311,0.0489394,,,
29,437.43,344.279,0.01,0.0012,,,29,437.43,344.279,0.43743,0.0688558,,,
29,988.08,778.9045,0.02,0.0024,,,29,988.08,778.9045,0.98808,0.1557809,,,
29,1785.86,1408.018,0.021,0.003,,,29,1785.86,1408.018,1.78586,0.2816036,,,
30,152.66,121.782,0.01,0.0003,,,30,152.66,121.782,0.15266,0.0243564,,,
30,306.35,244.697,0.01,0.0008,,,30,306.35,244.697,0.30635,0.0489394,,,
30,433.47,344.279,0.01,0.0012,,,30,433.47,344.279,0.43347,0.0688558,,,
30,977.167,778.9045,0.03,0.0024,,,30,977.167,778.9045,0.977167,0.1557809,,,
30,1766.1,1408.018,0.02,0.003,,,30,1766.1,1408.018,1.7661,0.2816036,,,
31,144.6,121.782,0.01,0.0003,,,31,144.6,121.782,0.1446,0.0243564,,,
31,289.8,244.697,0.02,0.0008,,,31,289.8,244.697,0.2898,0.0489394,,,
31,409.9,344.279,0.01,0.0012,,,31,409.9,344.279,0.4099,0.0688558,,,
31,923.15,778.9045,0.03,0.0024,,,31,923.15,778.9045,0.92315,0.1557809,,,
31,1667.77,1408.018,0.02,0.003,,,31,1667.77,1408.018,1.66777,0.2816036,,,
32,158.015,121.782,0.01,0.0003,,,32,158.015,121.782,0.158015,0.0243564,,,
32,317.097,244.697,0.015,0.0008,,,32,317.097,244.697,0.317097,0.0489394,,,
32,446.34,344.279,0.011,0.0012,,,32,446.34,344.279,0.44634,0.0688558,,,
